Trident/4.0|MSIE8
Trident/5.0|MSIE9
MSIE 9|MSIE9
MSIE 8|MSIE8
MSIE 7|MSIE7
MSIE 6|MSIE6
MSIE 5.5|MSIE5_5
MSIE 5|MSIE5
MSIE 4|MSIE4
MSIE 3|MSIE3
MSIE 2|MSIE2
Netscape6|Netscape6
Chrome|Chrome
 Safari/|Safari
Mozilla/5|Firefox
Mozilla/4.7|Netscape4.7
Mozilla/4.6|Netscape4.6
Mozilla/4.5|Netscape4.5
Mozilla/4|Netscape4
Mozilla/3|Netscape3
Mozilla/2|Netscape2
Opera/|Opera
